"Country","Code","id","CO2","CO2CAPITA","ENERGY","ENERGYCAPITA","GDP","GDPCAPITA"
"Mozambique","MOZ","508","Highest was 2014","Before 1990","Highest was 2014","Before 1990","Highest was 2014","Highest was 2014"
"Myanmar","MMR","104","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Namibia","NAM","516","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Nepal","NPL","524","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Netherlands","NLD","528","From 1990 to 1999","From 1990 to 1999","From 2008 to 2013","From 2000 to 2007","From 2008 to 2013","From 2008 to 2013"
"New Zealand","NZL","554","From 2000 to 2007","From 2000 to 2007","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Nicaragua","NIC","558","Highest was 2014","Before 1990","Highest was 2014","Highest was 2014","Highest was 2014","Before 1990"
"Niger","NER","562","Highest was 2014","From 2008 to 2013","Highest was 2014","From 2008 to 2013","Highest was 2014","Highest was 2014"
"Nigeria","NGA","566","From 2008 to 2013","Before 1990","Highest was 2014","From 2008 to 2013","Highest was 2014","Highest was 2014"
"Norway","NOR","578","From 2008 to 2013","From 1990 to 1999","From 2008 to 2013","From 2008 to 2013","Highest was 2014","From 2000 to 2007"
"Oman","OMN","512","Highest was 2014","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","Highest was 2014","From 2008 to 2013"
"Pakistan","PAK","586","From 2000 to 2007","From 2000 to 2007","Highest was 2014","From 2000 to 2007","Highest was 2014","Highest was 2014"
"Panama","PAN","591","Highest was 2014","Highest was 2014","Highest was 2014","Before 1990","Highest was 2014","Highest was 2014"
"Paraguay","PRY","600","Highest was 2014","Highest was 2014","Highest was 2014","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Peru","PER","604","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Philippines","PHL","608","Highest was 2014","Highest was 2014","Highest was 2014","From 2000 to 2007","Highest was 2014","Highest was 2014"
"Poland","POL","616","Before 1990","Before 1990","Before 1990","Before 1990","Highest was 2014","Highest was 2014"
"Portugal","PRT","620","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2008 to 2013","From 2008 to 2013"
"Qatar","QAT","634","Highest was 2014","From 2000 to 2007","Highest was 2014","From 2000 to 2007","Highest was 2014","Before 1990"
"Romania","ROU","642","Before 1990","Before 1990","Before 1990","Before 1990","From 2008 to 2013","Highest was 2014"
"Russia","RUS","643","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Saudi Arabia","SAU","682","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Before 1990"
"Senegal","SEN","686","Highest was 2014","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","Highest was 2014","Before 1990"
"Serbia","SRB","688","From 1990 to 1999","From 2000 to 2007","From 1990 to 1999","From 2000 to 2007","From 1990 to 1999","From 2008 to 2013"
"Singapore","SGP","702","From 2008 to 2013","From 1990 to 1999","From 2000 to 2007","From 2000 to 2007","Highest was 2014","Highest was 2014"
"Slovakia","SVK","703","Before 1990","Before 1990","Before 1990","Before 1990","Highest was 2014","Highest was 2014"
"Slovenia","SVN","705","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013"
"South Africa","ZAF","710","Highest was 2014","Before 1990","Highest was 2014","From 2008 to 2013","Highest was 2014","From 2008 to 2013"
"South Sudan","SSD","728","Highest was 2014","From 2008 to 2013","Highest was 2014","From 2008 to 2013","Highest was 2014","From 2008 to 2013"
"Spain","ESP","724","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2008 to 2013","From 2000 to 2007"
"Sri Lanka","LKA","144","Highest was 2014","Highest was 2014","From 2008 to 2013","From 2008 to 2013","Highest was 2014","Highest was 2014"
"Sudan","SDN","729","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","Before 1990","Highest was 2014","Highest was 2014"
"Sweden","SWE","752","Before 1990","Before 1990","From 2000 to 2007","Before 1990","Highest was 2014","From 2000 to 2007"
"Switzerland","CHE","756","From 2000 to 2007","Before 1990","From 2000 to 2007","From 2000 to 2007","Highest was 2014","Highest was 2014"
"Taiwan","TWN","158","From 2000 to 2007","From 2000 to 2007","From 2008 to 2013","From 2008 to 2013","Highest was 2014","Highest was 2014"
"Tajikistan","TJK","762","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","Highest was 2014","From 1990 to 1999"
"Tanzania","TZA","834","Highest was 2014","From 2008 to 2013","Highest was 2014","Before 1990","Highest was 2014","Highest was 2014"
"Thailand","THA","764","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","Highest was 2014","Highest was 2014"
"Togo","TGO","768","From 2008 to 2013","From 2008 to 2013","Highest was 2014","From 2008 to 2013","Highest was 2014","Before 1990"
"Trinidad","TTO","780","Highest was 2014","Highest was 2014","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013"
"Tunisia","TUN","788","Highest was 2014","Highest was 2014","Highest was 2014","From 2008 to 2013","Highest was 2014","Highest was 2014"
"Turkey","TUR","792","Highest was 2014","From 2008 to 2013","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Turkmenistan","TKM","795","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"UAE","ARE","784","Highest was 2014","From 1990 to 1999","Highest was 2014","From 2000 to 2007","Highest was 2014","Before 1990"
"Ukraine","UKR","804","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999"
"United Kingdom","GBR","826","Before 1990","Before 1990","From 1990 to 1999","From 1990 to 1999","Highest was 2014","From 2000 to 2007"
"United States","USA","840","From 2000 to 2007","Before 1990","From 2000 to 2007","Before 1990","Highest was 2014","Highest was 2014"
"Uruguay","URY","858","From 2008 to 2013","From 2008 to 2013","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Uzbekistan","UZB","860","From 2000 to 2007","From 1990 to 1999","From 2000 to 2007","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Venezuela","VEN","862","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","Before 1990"
"Vietnam","VNM","704","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Yemen","YEM","887","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013"
"Zambia","ZMB","894","Before 1990","Before 1990","Highest was 2014","Before 1990","Highest was 2014","Highest was 2014"
"Zimbabwe","ZWE","716","From 1990 to 1999","From 1990 to 1999","Highest was 2014","Before 1990","From 1990 to 1999","Before 1990"
